Tx,Ty,Tz,Tx,Ty,Tz
-435.832,-56.322,-1871.286,-451.057,-29.551,-1865.287
-436.152,-57.1,-1871.052,-451.419,-30.361,-1865.031
-436.451,-57.85,-1870.851,-451.744,-31.137,-1864.783
-436.761,-58.56,-1870.659,-452.087,-31.876,-1864.562
-437.063,-59.258,-1870.456,-452.438,-32.604,-1864.342
-437.362,-59.935,-1870.24,-452.786,-33.308,-1864.11
-437.643,-60.593,-1870.05,-453.076,-33.985,-1863.877
-437.931,-61.213,-1869.93,-453.416,-34.641,-1863.727
-438.198,-61.805,-1869.752,-453.726,-35.255,-1863.555
-438.485,-62.395,-1869.638,-454.022,-35.874,-1863.371
-438.759,-63.003,-1869.443,-454.364,-36.512,-1863.24
-439.032,-63.615,-1869.283,-454.666,-37.136,-1863.038
-439.323,-64.233,-1869.201,-454.981,-37.797,-1862.899
-439.587,-64.875,-1869.091,-455.308,-38.469,-1862.771
-439.832,-65.513,-1868.915,-455.578,-39.123,-1862.576
-440.105,-66.158,-1868.773,-455.871,-39.804,-1862.366
-440.376,-66.838,-1868.589,-456.181,-40.512,-1862.131
-440.625,-67.5,-1868.39,-456.468,-41.2,-1861.885
-440.893,-68.166,-1868.227,-456.771,-41.904,-1861.721
-441.188,-68.863,-1868.102,-457.108,-42.638,-1861.489
-441.482,-69.571,-1867.86,-457.447,-43.367,-1861.302
-441.822,-70.286,-1867.735,-457.825,-44.124,-1861.16
-442.152,-71.037,-1867.575,-458.186,-44.894,-1860.984
-442.481,-71.835,-1867.395,-458.534,-45.73,-1860.707
-442.825,-72.683,-1867.177,-458.921,-46.617,-1860.436
-443.225,-73.551,-1867.044,-459.354,-47.515,-1860.244
-443.648,-74.42,-1866.9,-459.837,-48.428,-1860.12
-444.091,-75.258,-1866.85,-460.311,-49.292,-1860.036
-444.518,-76.044,-1866.85,-460.774,-50.113,-1859.982
-444.897,-76.793,-1866.893,-461.223,-50.912,-1860.018
-445.263,-77.51,-1866.897,-461.607,-51.642,-1859.96
-445.613,-78.205,-1866.874,-462.01,-52.379,-1859.951
-445.986,-78.903,-1866.895,-462.424,-53.112,-1859.916
