Tx1,Ty1,Tz1,Tx2,Ty2,Tz2
-234.939,101.472,-1993.812,-251.982,124.183,-1980.767
-234.324,102.593,-1994.624,-251.227,125.53,-1981.804
-234.076,103.106,-1995.037,-250.991,126.073,-1982.299
-233.717,103.625,-1995.453,-250.6,126.643,-1982.76
-233.04,104.4,-1995.754,-249.807,127.535,-1983.136
-232.144,105.345,-1995.925,-248.709,128.601,-1983.227
-231.291,106.257,-1996.036,-247.63,129.625,-1983.258
-230.574,106.993,-1996.112,-246.722,130.396,-1983.083
-229.987,107.555,-1996.029,-245.958,130.973,-1982.866
-229.465,107.986,-1995.908,-245.277,131.359,-1982.359
-228.885,108.409,-1995.578,-244.518,131.752,-1981.821
-228.266,108.843,-1995.139,-243.687,132.164,-1980.987
-227.757,109.155,-1994.401,-243.027,132.41,-1980.083
-227.393,109.259,-1993.447,-242.511,132.41,-1978.77
-227.127,109.212,-1992.339,-242.149,132.19,-1977.337
-226.848,109.089,-1991.096,-241.735,131.88,-1975.625
-226.593,108.876,-1989.728,-241.358,131.425,-1973.824
-226.454,108.591,-1988.515,-241.119,130.882,-1972.099
-226.37,108.33,-1987.387,-240.991,130.414,-1970.664
-226.393,108.034,-1986.452,-240.957,129.892,-1969.407
-226.527,107.704,-1985.69,-241.144,129.333,-1968.455
-226.676,107.387,-1985.048,-241.314,128.814,-1967.512
-226.751,107.136,-1984.329,-241.451,128.379,-1966.63
-226.634,107.063,-1983.479,-241.314,128.152,-1965.601
-226.262,107.207,-1982.586,-240.816,128.223,-1964.524
-225.827,107.398,-1981.737,-240.227,128.359,-1963.514
-225.544,107.515,-1980.877,-239.863,128.38,-1962.458
-225.477,107.695,-1980.21,-239.843,128.423,-1961.656
-225.409,108.125,-1979.72,-239.957,128.69,-1961.062
-225.143,108.81,-1979.04,-239.652,129.372,-1960.353
-225.024,109.478,-1978.219,-239.593,129.983,-1959.536
-225.122,110.062,-1977.188,-239.743,130.517,-1958.447
-225.612,110.34,-1975.711,-240.402,130.674,-1956.977
-226.586,110.292,-1973.886,-241.658,130.353,-1955.075
-227.822,110.073,-1971.635,-243.248,129.824,-1952.823
-229.032,109.905,-1969.132,-244.763,129.342,-1950.17
-230.118,109.846,-1966.34,-246.073,129.015,-1947.323
-231.089,109.873,-1963.388,-247.27,128.793,-1944.356
-231.95,110.002,-1960.371,-248.318,128.715,-1941.3
-232.747,110.162,-1957.277,-249.327,128.659,-1938.302
-233.498,110.294,-1954.164,-250.263,128.561,-1935.035
-234.171,110.379,-1950.932,-251.071,128.434,-1931.771
-234.845,110.407,-1947.701,-251.812,128.301,-1928.363
-235.581,110.288,-1944.432,-252.579,128.058,-1925.051
-236.518,110.003,-1941.356,-253.597,127.65,-1921.989
-237.715,109.521,-1938.531,-254.889,127.02,-1919.082
-239.201,108.768,-1935.872,-256.541,126.041,-1916.308
-240.865,107.848,-1933.473,-258.433,124.834,-1913.824
-242.528,106.91,-1931.388,-260.327,123.681,-1911.792
-244.081,106.09,-1929.603,-262.028,122.659,-1909.904
-245.48,105.402,-1928.084,-263.571,121.793,-1908.399
-246.718,104.865,-1926.962,-264.927,121.146,-1907.249
-247.823,104.322,-1926.053,-266.171,120.44,-1906.401
-248.764,103.864,-1925.573,-267.261,119.862,-1905.948
-249.414,103.593,-1925.523,-268.019,119.525,-1905.969
-249.72,103.533,-1925.908,-268.398,119.485,-1906.435
-249.627,103.712,-1926.722,-268.335,119.752,-1907.341
-249.051,104.159,-1927.793,-267.696,120.353,-1908.418
-248.095,104.766,-1929.142,-266.615,121.212,-1909.938
-246.919,105.469,-1930.846,-265.302,122.228,-1911.739
-245.55,106.238,-1932.857,-263.77,123.353,-1913.929
-244.008,107.091,-1935.21,-262.055,124.565,-1916.477
-242.212,108.124,-1937.838,-260.031,126.03,-1919.306
-240.062,109.465,-1940.709,-257.553,127.942,-1922.487
-237.395,111.145,-1943.66,-254.336,130.354,-1925.685
-234.297,112.966,-1946.515,-250.555,132.917,-1928.697
-231.069,114.812,-1949.573,-246.585,135.506,-1931.867
-228.083,116.474,-1952.9,-243.05,137.822,-1935.538
-225.432,117.928,-1956.548,-240.017,139.828,-1939.544
-223.157,119.199,-1960.439,-237.438,141.609,-1943.953
-221.32,120.181,-1964.534,-235.392,142.994,-1948.371
-219.894,120.907,-1968.633,-233.792,144.125,-1952.854
-218.695,121.382,-1972.539,-232.453,144.891,-1957.064
-217.557,121.77,-1976.31,-231.145,145.682,-1961.358
-216.43,122.009,-1979.871,-229.863,146.248,-1965.337
-215.275,122.238,-1983.268,-228.533,146.807,-1969.128
-214.129,122.408,-1986.652,-227.239,147.311,-1972.967
-213.863,122.445,-1989.287,-226.834,147.819,-1976.445
-215.449,121.249,-1991.039,-228.914,146.425,-1978.245
-216.595,120.36,-1992.519,-230.413,145.435,-1979.961
-216.947,120.191,-1994.045,-230.488,145.613,-1981.855
-217.226,120.013,-1995.441,-230.734,145.519,-1983.388
-217.429,119.896,-1996.881,-230.878,145.558,-1985.049
-217.744,119.658,-1998.051,-231.235,145.406,-1986.558
-218.289,119.203,-1999.177,-231.926,144.94,-1987.827
-218.891,118.658,-2000.036,-232.59,144.448,-1988.859
-219.558,118.075,-2000.869,-233.373,143.884,-1989.876
-220.223,117.464,-2001.58,-234.178,143.289,-1990.819
-220.853,116.892,-2002.284,-234.976,142.703,-1991.707
-221.371,116.383,-2002.877,-235.656,142.169,-1992.455
-221.752,115.975,-2003.342,-236.17,141.76,-1993.091
-222.011,115.669,-2003.451,-236.543,141.431,-1993.311
-221.98,115.533,-2003.12,-236.564,141.293,-1993.073
-221.55,115.604,-2002.321,-236.085,141.381,-1992.237
-220.581,115.925,-2000.985,-234.974,141.713,-1990.74
-218.97,116.532,-1999.199,-233.049,142.401,-1988.725
-216.79,117.395,-1997.087,-230.384,143.422,-1986.375
-214.202,118.447,-1994.692,-227.21,144.657,-1983.675
-211.251,119.669,-1991.903,-223.615,146.079,-1980.615
-207.902,121.064,-1988.785,-219.53,147.619,-1977.071
-203.985,122.723,-1985.507,-214.766,149.415,-1973.359
-199.534,124.513,-1982.182,-209.202,151.378,-1969.508
-194.94,126.196,-1979.348,-203.326,153.233,-1966.103
-190.476,127.748,-1976.846,-197.805,155.021,-1963.487
-186.207,129.108,-1974.57,-192.584,156.584,-1961.073
-182.098,130.288,-1972.451,-187.516,157.873,-1958.77
-178.2,131.324,-1970.351,-182.705,158.972,-1956.53
-174.457,132.262,-1968.503,-178.084,159.928,-1954.461
-170.864,133.152,-1966.988,-173.627,160.877,-1952.845
-160.255,141.487,-1853.479,-167.445,133.909,-1965.756
-156.862,142.118,-1852.452,-164.261,134.56,-1964.826
-161.234,135.084,-1963.79,-153.668,142.617,-1851.48
-166.647,156.644,-2073.549,-157.994,163.257,-1948.588
-147.671,143.37,-1850.185,-155.545,135.889,-1962.203
-152.919,136.252,-1961.718,-144.902,143.713,-1849.755
-157.11,157.751,-2071.7,-148.09,164.294,-1947.11
-153.99,158.068,-2071.392,-144.834,164.589,-1946.968
-151.144,158.239,-2070.815,-141.881,164.744,-1946.657
-148.532,158.386,-2070.114,-139.184,164.873,-1946.265
-136.726,164.96,-1945.894,-141.118,137.498,-1960.174
-134.625,165.068,-1945.612,-139.419,137.664,-1959.929
-133.013,165.15,-1945.333,-138.13,137.806,-1959.685
-132.284,165.219,-1944.954,-137.527,137.92,-1959.289
-132.439,165.253,-1944.45,-137.644,137.988,-1958.833
-133.348,165.276,-1943.862,-138.381,138.026,-1958.406
-134.712,165.254,-1943.43,-139.52,138.011,-1958.016
-136.559,165.175,-1942.812,-141.055,137.946,-1957.578
-148.022,158.629,-2064.84,-138.689,165.055,-1942.248
-150.123,158.476,-2064.287,-140.852,164.912,-1941.611
-152.14,158.345,-2063.76,-142.921,164.783,-1941.168
-154.135,158.252,-2063.52,-144.944,164.699,-1940.81
-156.126,158.143,-2063.333,-146.969,164.6,-1940.53
-158.372,157.984,-2063.084,-149.268,164.45,-1940.237
-160.953,157.728,-2062.771,-151.959,164.206,-1939.934
-156.084,136.771,-1955.037,-148.042,144.129,-1844.551
-150.328,143.899,-1844.53,-158.275,136.528,-1955.027
-152.815,143.619,-1844.685,-160.644,136.24,-1955.104
-155.465,143.284,-1844.904,-163.15,135.894,-1955.259
-158.213,142.92,-1845.26,-165.735,135.523,-1955.505
-160.867,142.524,-1845.745,-168.212,135.117,-1955.878
-163.374,142.115,-1846.246,-170.572,134.698,-1956.29
-172.938,134.259,-1956.875,-175.382,161.123,-1941.094
-175.338,133.834,-1957.557,-178.452,160.644,-1941.797
-177.825,133.378,-1958.416,-181.642,160.115,-1942.674
-180.437,132.89,-1959.385,-185.022,159.538,-1943.722
-183.167,132.34,-1960.542,-188.583,158.868,-1944.879
-185.823,131.761,-1961.663,-192.064,158.13,-1946.08
-188.417,131.199,-1962.908,-195.463,157.397,-1947.39
-190.949,130.639,-1964.379,-198.804,156.682,-1948.974
-193.374,130.1,-1966.02,-202.003,156.021,-1950.769
-195.625,129.592,-1967.75,-205.016,155.417,-1952.8
-197.498,129.131,-1969.461,-207.527,154.854,-1954.771
-199.094,128.722,-1971.185,-209.68,154.363,-1956.737
-200.509,128.313,-1972.842,-211.651,153.841,-1958.583
